,author_url,body,product_id,rating,review_date,review_url,title
0,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyBTHxEjAu2T900WTg20GhdrNGmcITu%2FJECOPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Keeps fluids very hot. Only problem is that the paint peels off.,B01IPDVICM,5,28 January 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAENJ2TqifP3ongnCpNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMo3d&b=1,Good one
1,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOSng5%2BQzCLtgiRSA22AxSwdWjZeOU6OwGOet71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Really a nice product.Keep water warm for 18-24 hours.,B01IPDVICM,5,12 November 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAe7JrJtv5MWolk325X6AcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYfTgw%3D%3D&b=1,Go for it
2,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyMNQREmmrFTbsvRzEiu3xOsdGrZ56K%2Fu0fSPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Bottol is ok bt color will nt last for long time.,B01IPDVICM,4,4 December 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAC9BnO96fK3Q%2F%2B3qlNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMo3d&b=1,Ok productðŸ‘�
3,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOSnkj%2F2q9Ttc6WUIn33Vax6TDY5Cf4%2FQZN%2Ft71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Color different,B01IPDVICM,2,6 November 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAeq9gKtaTPnZJ%2BnmqV6AcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYfTgw%3D%3D&b=1,Cool
4,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyBNWpFjQzEWNpYR0E822xPvNSybpqN9%2FEYP%2Ft71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,cool,B01IPDVICM,5,15 September 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAer5nLd%2F4NQlH%2Bg%2B8QqAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYfTgw%3D%3D&b=1,good one
5,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyPPGFEhW7EQNZaVjMwunpZwqu9foyT6ulkJvt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Super,B01IPDVICM,5,17 January 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAD7VvO8r9TAcyiW6kNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMo3d&b=1,Super
