author_url,body,product_id,rating,review_date,review_url,title
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyPLn8%2Bi2unTd0lXkcgxHJSx6%2Bif5np5%2BMcNPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Perfect,B01IPDVJEO,5,26 November 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAeddrTdaTSWMghHHGWaAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Excellent
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOMn89mmyiXsw8IyAiyHhet6mofp6I85UBJPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Good,B01IPDVJEO,5,21 April 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAerZjPKrwPmFCiw3AI6AcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Nice product
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOTAY0iXm5UNcqRi85xH5AtrygYeOQ%2BPACL%2Bt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Excellent,B01IPDVJEO,5,26 April 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAf6p%2FM9mAMQQ4gwumNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMYvf&b=1,Excellent
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyMLQYy%2FHC1S8A%2FXEcju2NDvbahdeLs5%2FAVJPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Good quality,B01IPDVJEO,4,31 October 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAeaAdLdaTTntF83K2IqAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Good product
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyPLmgo%2FW2mWdxZSCAmwGpHxrKoEZCDh%2FRmOPt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Very good product we loved it,B01IPDVJEO,5,5 September 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFACqZ0NNSQSGZCjQmpNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMYvf&b=1,Good product
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyMOno%2Bg3zHLMM5STJFxn5AwdWmZY6B6ZYeP%2Ft71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Dislike,B01IPDVJEO,1,23 March 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAeqR%2FNcz5PGY2jmmpQKAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Dislike
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOMnsijna7Tr0sIy882HBMwLa7f%2BCK%2FegVSOt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Like,B01IPDVJEO,4,8 October 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAea9lSdv9LgM4%2BXy3KKAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Quality
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyPS3Y%2BjWmkL8MsQS8n02NaoKm1FJ2D%2BZEXSet71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,,B01IPDVJEO,1,23 May 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAe6RlLauPPmo1mXmxQqAcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Not satisfied
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyOTXMk%2FX6zSMQ0VSE8zw9HsK6nZZKI%2B%2BMYJft71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Ok,B01IPDVJEO,4,17 October 2017,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAedVgKK2dNAY3hGymX6AcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Four Stars
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyBIQM5jnSnS8tbVEEk2XFPs9KrbYOV6pQWKet71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Only the amount is little high. I don't think so that the bottle can keep the water hot and cold.,B01IPDVJEO,4,4 May 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAfdR8KdKLNXcl%2BH7BNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMYvf&b=1,USA
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyPKnk%2B%2Fgq5Q7taUzcxzwxesKyyaeHt9ekfS%2Ft71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,"Worked fine for 2 months. After that I have to call Milton customer care to solve the problem. Very upset with having bought this, cos the product is not cheap",B01IPDVJEO,1,14 August 2018,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFADq8YM8yEMnNInH2qNf0LdkgU5GRohrmQVKSE1P0hCt0L0i3lofb5F3Uk8rQyI3ThVd1%2FHRQNN3lEMYvf&b=1,Disappointed
/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QTy2X2nojKNg%2BxDTJ0KxMro19PYlaUNyBT3M2%2BHqhKdsqVjctzXVFwbe3b5%2BZhegRM%2Bt71Dzvo%2FzxdUMC6%2B1mEnjMRIdKckcwCgJ7HvPFmmVV&b=1,Just Wow,B01IPDVJEO,5,11 April 2019,/process.php?d=8sum5S8FvxrR%2BbuORIujYoZJWb7QXCqLyHwiKIVy2yvRiOdavsFAerVoTdyMNndBhmugW6AcdRNK6lZUl5SuR6ar78YMDtwj%2BS398qD1Tx0l4MosRGb7Uq4AbxV1Lm1WLYTVgQ%3D%3D&b=1,Awesome btl
